TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612749,Milwaukee Bucks,53,23,30,0.434,2559.0,2188,4552,0.481,780,1990,0.392,769,1044,0.737,463,1721,2184,1384,768.0,392,219,220,1064,960,5925,-180.0,24,22,20,22,25,27,27,5,11,18,2,30,29,30,30,22,29,20,8,28,27,3,11,29,29,22
1610612750,Minnesota Timberwolves,56,34,22,0.607,2703.0,2414,4991,0.484,798,2130,0.375,1076,1443,0.746,639,1870,2509,1484,810.0,492,317,219,1193,1171,6702,276.0,1,7,10,10,4,4,7,4,10,10,4,12,3,29,13,6,7,11,19,9,4,2,28,4,2,6
1610612740,New Orleans Pelicans,56,15,41,0.268,2712.971667,2351,5088,0.462,626,1813,0.345,1089,1388,0.785,686,1755,2441,1401,789.0,494,261,331,1112,1124,6417,-326.0,1,26,29,28,3,9,3,20,25,24,24,10,8,15,7,17,13,17,11,8,18,28,19,13,11,25
1610612752,New York Knicks,55,35,20,0.636,2655.0,2353,4990,0.472,827,2188,0.378,958,1213,0.79,724,1824,2548,1495,748.0,438,225,251,1124,1071,6491,339.0,9,4,5,5,11,8,8,12,4,9,3,22,23,12,3,8,4,10,6,19,25,10,22,20,9,4
1610612760,Oklahoma City Thunder,56,42,14,0.75,2713.0,2422,4973,0.487,754,2084,0.362,1105,1346,0.821,522,1923,2445,1428,698.0,547,320,239,1086,1176,6703,653.0,1,1,2,2,2,2,9,3,13,13,13,6,13,3,27,2,12,15,2,4,2,7,14,3,1,1
1610612753,Orlando Magic,53,28,25,0.528,2559.0,2170,4693,0.462,612,1788,0.342,1146,1433,0.8,592,1701,2293,1400,736.0,460,273,283,1111,1162,6098,-10.0,24,16,14,14,25,28,26,19,26,26,27,3,4,7,20,23,26,18,4,15,13,22,18,5,25,17
1610612755,Philadelphia 76ers,54,30,24,0.556,2631.998333,2232,4853,0.46,686,1928,0.356,1123,1376,0.816,656,1682,2338,1336,749.0,489,307,275,1096,1102,6273,14.0,18,13,13,13,18,23,18,24,20,19,16,4,11,4,12,26,23,26,7,10,5,19,16,16,15,15
1610612756,Phoenix Suns,55,32,23,0.582,2645.0,2275,4943,0.46,804,2210,0.364,895,1128,0.793,707,1661,2368,1374,824.0,555,219,234,1172,1041,6249,98.0,9,11,11,11,17,17,12,23,9,6,10,27,28,10,4,29,17,22,24,2,27,6,26,24,18,13
1610612757,Portland Trail Blazers,56,27,29,0.482,2698.0,2299,5086,0.452,812,2375,0.342,1104,1429,0.773,798,1780,2578,1383,970.0,447,274,343,1143,1229,6514,-110.0,1,17,18,17,6,13,4,28,5,2,29,7,5,22,2,13,2,21,30,17,12,30,24,1,8,20
1610612758,Sacramento Kings,56,12,44,0.214,2703.0,2293,4959,0.462,580,1695,0.342,1002,1296,0.773,617,1697,2314,1397,814.0,462,250,265,1129,1052,6168,-587.0,1,30,30,30,4,15,11,18,30,28,28,16,16,21,17,25,24,19,20,14,20,17,23,22,21,30
1610612759,San Antonio Spurs,54,38,16,0.704,2597.0,2299,4820,0.477,701,2018,0.347,1080,1377,0.784,613,1901,2514,1436,741.0,418,278,243,1025,1126,6379,322.0,18,3,3,3,22,13,20,8,18,17,22,11,10,16,18,3,6,13,5,21,10,9,5,12,12,5
1610612761,Toronto Raptors,55,32,23,0.582,2659.983333,2322,4911,0.473,633,1840,0.344,981,1256,0.781,628,1735,2363,1613,771.0,468,271,291,1152,1076,6258,84.0,9,11,11,11,10,11,15,10,23,23,25,20,19,18,14,20,19,3,9,11,14,23,25,18,17,14
1610612762,Utah Jazz,56,18,38,0.321,2718.0,2371,5057,0.469,725,2069,0.35,1156,1447,0.799,660,1819,2479,1684,888.0,456,196,333,1231,1160,6623,-429.0,1,25,25,25,1,6,5,16,16,14,19,1,2,8,11,10,8,2,29,16,30,29,30,6,4,28
1610612764,Washington Wizards,53,14,39,0.264,2553.983333,2189,4796,0.456,682,1926,0.354,884,1147,0.771,624,1680,2304,1335,829.0,413,318,298,1116,917,5944,-582.0,24,29,27,29,30,26,22,27,22,20,17,28,27,23,15,27,25,27,26,22,3,26,21,30,28,29
