LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
00,22025,1610612750,Minnesota,Timberwolves,West,19-17,6,,Northwest,6-5,3,34,22,0.607,,34-22,19-10,15-12,7-3,6-4,5-5,1-2,4-4,21-9,5,W 5,3,W 3,5,5,2,W 2,1,W 1,2,W 2,8.0,8.0,,,,,,17-10,15-12,2-0,24-5,9-16,1-1,34-20,30-22,13-12,31-3,23-12,21-7,120.0,115.0,5.0,15-5,4-2,5-2,6-1,19-17,6-5,6-7,7-5,10-6,3-3,,,,,,,,2-3,10-5,9-5,34-22,
00,22025,1610612755,Philadelphia,76ers,East,19-18,6,,Atlantic,8-6,4,30,24,0.556,,30-24,15-14,15-10,6-4,5-5,6-4,4-3,6-8,16-8,-4,L 4,4,W 4,5,3,-1,L 1,-1,L 1,-2,L 2,10.5,5.0,,,,,,23-10,6-13,1-1,21-8,8-16,1-0,29-22,27-24,12-19,21-3,16-8,22-13,116.0,116.0,0.0,19-18,8-6,5-7,6-5,11-6,0-3,6-3,5-0,10-7,3-3,,,,,,,,4-1,6-8,7-5,30-24,
00,22025,1610612753,Orlando,Magic,East,19-18,7,,Southeast,6-5,1,28,25,0.528,1.0,28-25,17-9,10-14,5-5,6-4,4-6,2-1,8-2,11-14,6,W 6,2,W 2,3,4,-1,L 1,-2,L 2,-1,L 1,12.0,0.0,,,,,,16-6,11-17,1-2,20-5,7-20,1-0,28-19,24-25,13-15,18-3,15-9,19-11,115.0,115.0,0.0,19-18,8-7,5-6,6-5,9-7,5-2,2-1,2-4,6-7,3-3,,,,,,,,2-4,10-4,7-7,28-25,
00,22025,1610612756,Phoenix,Suns,West,22-16,7,,Pacific,8-6,2,32,23,0.582,4.0,32-23,18-10,14-13,5-5,5-5,5-5,0-1,4-6,16-10,6,W 6,4,W 4,5,4,-1,L 1,1,W 1,-1,L 1,9.5,1.5,,,,,,25-5,7-17,0-1,28-4,3-17,1-2,31-17,24-23,14-18,23-5,18-5,19-14,114.0,112.0,2.0,10-7,5-1,3-2,2-4,22-16,6-6,8-6,8-4,11-5,2-4,,,,,,,,2-4,10-5,7-5,32-23,
00,22025,1610612748,Miami,Heat,East,15-16,8,,Southeast,4-5,2,29,27,0.518,4.0,29-27,16-11,13-16,5-5,4-6,6-4,1-0,6-3,17-15,5,W 5,-4,L 4,6,5,-2,L 2,2,W 2,1,W 1,12.5,0.5,,,,,,25-9,3-17,1-1,26-4,1-22,2-1,29-22,26-26,15-21,22-7,17-9,21-11,120.0,117.0,2.0,15-16,4-7,7-4,4-5,14-11,4-6,6-3,4-2,8-9,3-3,,,,,,,,3-2,10-5,5-8,29-27,
00,22025,1610612744,Golden State,Warriors,West,19-16,8,,Pacific,6-4,3,29,26,0.527,,29-26,18-10,11-16,4-6,5-5,5-5,1-1,3-3,18-13,5,W 5,-6,L 6,4,3,-1,L 1,-1,L 1,-1,L 1,12.5,4.5,,,,,,23-9,6-17,0-0,24-9,4-16,1-1,27-19,20-24,13-18,19-4,13-7,17-6,116.0,114.0,2.0,10-10,2-4,4-3,4-3,19-16,6-9,6-4,7-3,9-7,2-3,,,,,,,,4-2,7-8,7-6,29-26,
00,22025,1610612766,Charlotte,Hornets,East,16-20,9,,Southeast,8-4,3,26,29,0.473,,26-29,12-14,14-15,9-1,5-5,8-2,2-1,2-6,16-14,-5,L 5,-9,L 9,9,7,1,W 1,6,W 6,1,W 1,15.0,3.0,,,,,,20-8,5-20,1-1,22-6,3-23,1-0,26-25,16-27,17-18,18-3,24-17,4-7,116.0,114.0,2.0,16-20,4-6,4-10,8-4,10-9,4-3,1-5,5-1,11-6,4-1,,,,,,,,2-3,4-11,5-8,26-29,
00,22025,1610612757,Portland,Trail Blazers,West,21-16,9,,Northwest,5-5,4,27,29,0.482,,27-29,16-13,11-16,4-6,6-4,4-6,1-1,6-3,12-13,5,W 5,-4,L 4,5,6,3,W 3,1,W 1,1,W 1,15.0,15.0,,,,,,16-7,10-22,1-0,20-5,7-24,0-0,26-22,26-29,15-23,15-3,20-14,8-6,116.0,118.0,-2.0,6-13,2-5,2-4,2-4,21-16,5-5,8-6,8-5,9-6,4-3,,,,,,,,4-2,4-10,6-8,27-29,
00,22025,1610612737,Atlanta,Hawks,East,13-20,10,,Southeast,5-5,4,26,30,0.464,,26-30,10-15,16-15,5-5,5-5,5-5,1-0,6-7,15-16,-5,L 5,4,W 4,5,7,-1,L 1,-2,L 2,-3,L 3,15.5,3.5,,,,,,19-7,6-22,1-1,18-3,7-27,1-0,26-25,23-29,13-20,26-5,10-6,18-13,117.0,119.0,-1.0,13-20,5-6,3-9,5-5,13-10,4-5,6-2,3-3,8-8,2-3,,,,,,,,3-3,10-5,3-11,26-30,
00,22025,1610612746,LA,Clippers,West,16-16,10,,Pacific,7-4,4,26,28,0.481,,26-28,13-11,13-17,6-4,7-3,7-3,2-0,4-6,15-18,-8,L 8,4,W 4,6,6,-2,L 2,1,W 1,1,W 1,15.0,7.0,,,,,,19-13,7-14,0-1,22-4,4-23,0-1,25-24,18-27,13-20,24-6,11-8,17-8,112.0,112.0,0.0,10-12,3-5,2-3,5-4,16-16,5-6,7-4,4-6,11-4,4-3,,,,,,,,3-2,2-13,6-6,26-28,
00,22025,1610612763,Memphis,Grizzlies,West,16-21,11,,Southwest,5-6,3,20,33,0.377,,20-33,10-15,9-17,2-8,3-7,1-9,1-1,2-4,7-14,-4,L 4,-5,L 5,3,6,1,W 1,-4,L 4,-4,L 4,20.5,17.5,,,,,,12-12,8-19,0-2,16-12,4-19,0-2,20-29,15-33,5-21,18-7,14-9,9-16,115.0,117.0,-2.0,4-12,1-4,2-2,1-6,16-21,4-9,7-6,5-6,3-11,2-4,,,,,,,,3-3,6-9,6-6,20-33,
00,22025,1610612741,Chicago,Bulls,East,16-22,11,,Central,3-9,3,24,31,0.436,,24-31,15-12,9-19,1-9,6-4,2-8,0-1,9-5,9-19,5,W 5,-5,L 5,5,7,-3,L 3,-5,L 5,-6,L 6,17.0,17.0,,,,,,12-7,11-23,1-1,17-7,6-22,1-2,24-27,23-31,14-17,19-9,18-10,8-11,117.0,121.0,-4.0,16-22,5-7,3-9,8-6,8-9,4-3,2-2,2-4,8-8,0-6,,,,,,,,5-0,4-10,7-7,24-31,
00,22025,1610612742,Dallas,Mavericks,West,11-25,12,,Southwest,3-9,4,19,35,0.352,,19-35,14-16,5-18,1-9,4-6,2-8,2-2,5-6,7-15,5,W 5,-7,L 7,4,9,-5,L 5,-4,L 4,-9,L 9,22.0,19.0,,,,,,12-6,6-29,1-0,10-7,6-27,3-1,19-30,17-35,10-23,15-9,9-13,8-13,114.0,117.0,-3.0,8-10,4-4,2-3,2-3,11-25,5-8,3-8,3-9,7-8,0-5,,,,,,,,2-3,4-12,6-7,19-35,
00,22025,1610612749,Milwaukee,Bucks,East,17-18,12,,Central,7-4,4,23,30,0.434,,23-30,12-12,11-18,5-5,5-5,4-6,2-1,4-6,12-17,-4,L 4,-8,L 8,3,7,3,W 3,2,W 2,2,W 2,17.0,17.0,,,,,,14-7,9-23,0-0,18-4,4-25,1-1,23-25,18-30,11-21,22-13,11-5,9-8,112.0,115.0,-3.0,17-18,4-8,7-4,6-6,6-12,1-6,3-3,2-3,4-8,5-2,,,,,,,,4-1,5-11,5-8,23-30,
00,22025,1610612762,Utah,Jazz,West,10-25,13,,Northwest,1-9,5,18,38,0.321,,18-38,11-18,7-20,3-7,3-7,3-7,3-2,4-7,6-25,-5,L 5,-5,L 5,2,6,-1,L 1,1,W 1,-1,L 1,24.0,24.0,,,,,,10-11,7-27,1-0,13-3,5-33,0-2,18-34,17-38,8-24,13-9,11-12,7-8,118.0,126.0,-8.0,8-13,2-4,5-2,1-7,10-25,1-9,4-10,5-6,3-14,3-4,,,,,,,,2-3,4-10,6-7,18-38,
00,22025,1610612751,Brooklyn,Nets,East,11-22,13,,Atlantic,3-9,5,15,38,0.283,,15-38,8-19,7-19,3-7,4-6,1-9,0-2,1-2,10-25,-9,L 9,-9,L 9,3,7,-1,L 1,-2,L 2,-1,L 1,25.0,19.5,,,,,,12-5,2-33,1-0,13-5,1-32,1-1,14-26,12-38,5-24,13-2,11-13,4-11,108.0,115.0,-7.0,11-22,3-9,5-6,3-7,4-16,3-3,0-6,1-7,3-14,2-4,,,,,,,,0-5,3-11,7-4,15-38,
00,22025,1610612740,New Orleans,Pelicans,West,9-26,14,,Southwest,6-7,5,15,41,0.268,,15-41,9-20,6-21,5-5,3-7,3-7,1-4,2-3,6-18,-6,L 6,-6,L 6,5,9,-1,L 1,1,W 1,-1,L 1,27.0,24.0,,,,,,9-12,6-28,0-1,9-10,5-30,1-1,15-34,12-41,4-31,12-8,9-9,10-18,115.0,120.0,-6.0,6-15,1-4,3-5,2-6,9-26,2-10,1-9,6-7,5-11,2-3,,,,,,,,0-5,3-13,5-9,15-41,
00,22025,1610612754,Indiana,Pacers,East,11-26,14,,Central,3-9,5,15,40,0.273,,15-40,10-18,5-22,5-5,5-5,4-6,1-1,6-5,4-23,-7,L 7,-10,L 10,3,13,-2,L 2,2,W 2,2,W 2,26.0,26.0,,,,,,10-10,5-29,0-1,12-5,3-33,0-2,14-32,12-39,7-30,12-3,7-8,9-18,111.0,119.0,-7.0,11-26,3-11,3-9,5-6,4-14,1-6,2-2,1-6,7-8,2-4,,,,,,,,0-5,4-11,2-12,15-40,
00,22025,1610612758,Sacramento,Kings,West,8-29,15,,Pacific,2-8,5,12,44,0.214,,12-44,9-19,3-25,0-10,4-6,0-10,2-1,3-4,5-27,-6,L 6,-15,L 15,4,14,-6,L 6,-15,L 15,-14,L 14,30.0,22.0,,,,,,7-9,5-33,0-2,9-8,3-34,0-2,12-33,11-43,10-29,9-10,7-11,9-20,110.0,121.0,-10.0,4-15,1-5,1-7,2-3,8-29,3-14,2-8,3-7,4-13,0-6,,,,,,,,1-4,4-12,3-9,12-44,
00,22025,1610612764,Washington,Wizards,East,9-23,15,,Southeast,2-6,5,14,39,0.264,,14-39,9-18,5-21,4-6,4-6,2-8,0-2,2-2,6-31,-6,L 6,-10,L 10,2,14,-2,L 2,-2,L 2,-3,L 3,26.0,14.0,,,,,,12-5,2-34,0-0,9-7,4-32,1-0,14-34,11-39,4-27,10-9,8-9,7-6,112.0,123.0,-11.0,9-23,2-10,5-7,2-6,5-16,1-5,1-6,3-5,4-11,2-4,,,,,,,,1-4,1-12,6-8,14-39,
